token	corpus size	all contexts size	frequency	co-frequency	specificity
The	5582	2630	92	76	12.93
of	5582	2630	223	150	10.55
s	5582	2630	77	56	6.57
Disney	5582	2630	17	17	6.57
Sleepy	5582	2630	13	12	4.09
the	5582	2630	275	148	3.44
Old	5582	2630	6	6	2.96
Sunnyside	5582	2630	6	6	2.96
likes	5582	2630	6	6	2.96
Story	5582	2630	8	7	2.66
