item	total	count part-1	specif part-1	count part-2	specif part-2	count part-3	specif part-3	count part-4	specif part-4	count part-5	specif part-5	count part-6	specif part-6	count part-7	specif part-7	count part-8	specif part-8	count part-9	specif part-9	count part-10	specif part-10	count part-11	specif part-11	count part-12	specif part-12	count part-13	specif part-13	count part-14	specif part-14	count part-15	specif part-15	count part-16	specif part-16	count part-17	specif part-17	count part-18	specif part-18	count part-19	specif part-19	count part-20	specif part-20	count part-21	specif part-21	count part-22	specif part-22	count part-23	specif part-23	count part-24	specif part-24	count part-25	specif part-25	count part-26	specif part-26	count part-27	specif part-27	count part-28	specif part-28	count part-29	specif part-29	count part-30	specif part-30	count part-31	specif part-31	count part-32	specif part-32	count part-33	specif part-33	count part-34	specif part-34	count part-35	specif part-35	count part-36	specif part-36	count part-37	specif part-37	count part-38	specif part-38	count part-39	specif part-39	count part-40	specif part-40	count part-41	specif part-41	count part-42	specif part-42	count part-43	specif part-43	count part-44	specif part-44	count part-45	specif part-45	count part-46	specif part-46	count part-47	specif part-47	count part-48	specif part-48	count part-49	specif part-49	count part-50	specif part-50
Chris	44	0	0.12	0	0.25	0	0.00	0	0.14	0	0.27	0	0.12	0	0.18	0	0.25	2	1.06	0	0.07	1	0.44	0	0.10	0	0.10	0	0.01	0	-0.78	0	0.10	0	0.20	2	1.03	0	0.10	0	-0.57	0	0.10	1	0.48	0	0.17	0	0.06	0	-0.99	0	0.08	0	0.16	0	0.09	0	0.00	0	0.00	0	0.12	0	0.11	3	0.66	18	4.41	0	-0.85	0	0.16	9	2.13	0	0.08	0	0.26	0	0.25	0	0.08	0	0.16	4	-0.77	0	0.35	4	1.03	0	0.15	0	0.18	0	-0.47	0	0.19	0	0.13
company	44	0	0.12	0	0.25	0	0.00	0	0.14	0	0.27	0	0.12	0	0.18	0	0.25	0	0.24	0	0.07	2	0.67	0	0.10	0	0.10	0	0.01	0	-0.78	0	0.10	0	0.20	1	0.48	0	0.10	0	-0.57	2	1.69	0	0.25	0	0.17	0	0.06	0	-0.99	0	0.08	0	0.16	0	0.09	0	0.00	0	0.00	0	0.12	0	0.11	0	-1.66	4	-1.05	0	-0.85	0	0.16	2	-0.79	0	0.08	2	1.02	3	1.78	0	0.08	0	0.16	24	11.02	0	0.35	4	1.03	0	0.15	0	0.18	0	-0.47	0	0.19	0	0.13
st	44	0	0.12	0	0.25	0	0.00	0	0.14	0	0.27	0	0.12	0	0.18	0	0.25	0	0.24	0	0.07	3	1.08	0	0.10	0	0.10	0	0.01	0	-0.78	0	0.10	1	0.54	0	0.25	0	0.10	0	-0.57	0	0.10	0	0.25	0	0.17	0	0.06	2	0.56	0	0.08	0	0.16	0	0.09	0	0.00	0	0.00	0	0.12	0	0.11	10	2.68	6	-0.79	0	-0.85	0	0.16	0	-1.70	0	0.08	0	0.26	0	0.25	0	0.08	0	0.16	3	-0.91	0	0.35	0	-0.91	0	0.15	0	0.18	0	-0.47	18	24.16	1	0.65
E	44	0	0.12	0	0.25	0	0.00	0	0.14	0	0.27	0	0.12	0	0.18	0	0.25	0	0.24	0	0.07	2	0.67	0	0.10	0	0.10	0	0.01	0	-0.78	0	0.10	0	0.20	5	3.59	0	0.10	0	-0.57	0	0.10	1	0.48	0	0.17	0	0.06	3	0.69	0	0.08	0	0.16	0	0.09	0	0.00	0	0.00	3	2.61	0	0.11	0	-1.66	15	2.87	0	-0.85	0	0.16	9	2.13	0	0.08	0	0.26	0	0.25	0	0.08	0	0.16	4	-0.77	0	0.35	2	0.56	0	0.15	0	0.18	0	-0.47	0	0.19	0	0.13
Monsters	44	0	0.12	0	0.25	0	0.00	0	0.14	0	0.27	0	0.12	0	0.18	0	0.25	0	0.24	0	0.07	2	0.67	0	0.10	0	0.10	0	0.01	0	-0.78	0	0.10	0	0.20	0	0.25	0	0.10	0	-0.57	0	0.10	0	0.25	0	0.17	0	0.06	1	-0.62	0	0.08	2	1.32	0	0.09	0	0.00	0	0.00	0	0.12	0	0.11	0	-1.66	0	-3.25	0	-0.85	0	0.16	0	-1.70	0	0.08	0	0.26	0	0.25	0	0.08	0	0.16	39	30.26	0	0.35	0	-0.91	0	0.15	0	0.18	0	-0.47	0	0.19	0	0.13
greatest	44	0	0.12	0	0.25	0	0.00	0	0.14	0	0.27	0	0.12	0	0.18	0	0.25	0	0.24	0	0.07	0	-0.52	0	0.10	0	0.10	0	0.01	0	-0.78	0	0.10	1	0.54	0	0.25	0	0.10	1	0.45	0	0.10	0	0.25	0	0.17	0	0.06	0	-0.99	0	0.08	0	0.16	0	0.09	0	0.00	0	0.00	0	0.12	0	0.11	25	15.56	10	1.17	0	-0.85	0	0.16	3	0.67	0	0.08	0	0.26	0	0.25	0	0.08	0	0.16	1	-1.65	0	0.35	1	-0.58	1	0.60	0	0.18	1	0.43	0	0.19	0	0.13
Business	44	0	0.12	0	0.25	0	0.00	0	0.14	0	0.27	0	0.12	0	0.18	0	0.25	0	0.24	0	0.07	0	-0.52	0	0.10	0	0.10	0	0.01	0	-0.78	0	0.10	0	0.20	0	0.25	2	1.71	0	-0.57	1	0.74	0	0.25	0	0.17	0	0.06	0	-0.99	0	0.08	0	0.16	0	0.09	0	0.00	0	0.00	0	0.12	0	0.11	0	-1.66	2	-1.74	0	-0.85	0	0.16	0	-1.70	0	0.08	1	0.48	0	0.25	0	0.08	0	0.16	30	17.42	0	0.35	4	1.03	0	0.15	4	3.15	0	-0.47	0	0.19	0	0.13
Want	44	0	0.12	0	0.25	0	0.00	0	0.14	0	0.27	0	0.12	0	0.18	0	0.25	0	0.24	0	0.07	0	-0.52	0	0.10	0	0.10	0	0.01	0	-0.78	0	0.10	0	0.20	0	0.25	33	66.23	0	-0.57	1	0.74	0	0.25	0	0.17	1	0.90	0	-0.99	0	0.08	0	0.16	0	0.09	0	0.00	0	0.00	0	0.12	0	0.11	0	-1.66	6	-0.79	0	-0.85	0	0.16	0	-1.70	0	0.08	0	0.26	0	0.25	0	0.08	0	0.16	1	-1.65	1	0.44	0	-0.91	0	0.15	0	0.18	0	-0.47	1	0.55	0	0.13
honor	44	0	0.12	0	0.25	0	0.00	0	0.14	0	0.27	0	0.12	0	0.18	0	0.25	0	0.24	0	0.07	0	-0.52	0	0.10	0	0.10	0	0.01	0	-0.78	0	0.10	0	0.20	0	0.25	0	0.10	34	42.77	0	0.10	0	0.25	0	0.17	0	0.06	0	-0.99	0	0.08	0	0.16	0	0.09	0	0.00	0	0.00	0	0.12	0	0.11	4	0.70	4	-1.05	0	-0.85	0	0.16	1	-1.09	0	0.08	0	0.26	0	0.25	0	0.08	0	0.16	0	-2.43	1	0.44	0	-0.91	0	0.15	0	0.18	0	-0.47	0	0.19	0	0.13
co	44	0	0.12	0	0.25	0	0.00	0	0.14	0	0.27	0	0.12	0	0.18	0	0.25	0	0.24	0	0.07	0	-0.52	0	0.10	0	0.10	0	0.01	0	-0.78	0	0.10	0	0.20	0	0.25	0	0.10	0	-0.57	0	0.10	0	0.25	0	0.17	0	0.06	0	-0.99	0	0.08	0	0.16	0	0.09	0	0.00	0	0.00	0	0.12	2	1.60	2	-0.77	8	0.86	0	-0.85	0	0.16	3	0.67	0	0.08	1	0.48	0	0.25	0	0.08	0	0.16	25	11.98	2	0.84	0	-0.91	0	0.15	0	0.18	1	0.43	0	0.19	0	0.13
