item	total	count part-1	specif part-1	count part-2	specif part-2	count part-3	specif part-3	count part-4	specif part-4	count part-5	specif part-5	count part-6	specif part-6	count part-7	specif part-7	count part-8	specif part-8	count part-9	specif part-9	count part-10	specif part-10	count part-11	specif part-11	count part-12	specif part-12	count part-13	specif part-13	count part-14	specif part-14	count part-15	specif part-15	count part-16	specif part-16	count part-17	specif part-17	count part-18	specif part-18	count part-19	specif part-19	count part-20	specif part-20	count part-21	specif part-21	count part-22	specif part-22	count part-23	specif part-23	count part-24	specif part-24	count part-25	specif part-25	count part-26	specif part-26	count part-27	specif part-27	count part-28	specif part-28	count part-29	specif part-29	count part-30	specif part-30	count part-31	specif part-31	count part-32	specif part-32	count part-33	specif part-33	count part-34	specif part-34	count part-35	specif part-35	count part-36	specif part-36	count part-37	specif part-37	count part-38	specif part-38	count part-39	specif part-39	count part-40	specif part-40	count part-41	specif part-41	count part-42	specif part-42	count part-43	specif part-43	count part-44	specif part-44	count part-45	specif part-45	count part-46	specif part-46	count part-47	specif part-47	count part-48	specif part-48	count part-49	specif part-49	count part-50	specif part-50
	223176		1411		2886		29		1669		3134		1425		2130		2914		2786		858		5942		1126		1196		154		8935		1165		2310		2945		1120		6594		1156		2955		1939		744		11261		917		1895		1099		21		21		1391		1300		18585		34910		9716		1882		19040		959		2979		2874		903		1811		26631		4026		10350		1801		2079		5453		2224		1525
the	9931	62	1.29	178	5.46	0	-0.57	71	-1.35	226	12.08	63	1.29	76	-2.24	98	-3.32	95	-3.07	56	2.93	180	-8.55	49	-1.24	31	-3.62	3	-1.26	227	-21.82	71	2.77	55	-7.36	99	-3.35	11	-10.91	402	10.18	26	-4.59	84	-5.86	76	-1.62	61	5.61	492	-1.76	20	-4.00	49	-5.20	67	2.68	1	0.42	1	0.42	28	-6.41	47	-1.72	842	1.90	1438	-4.29	469	2.43	113	3.53	1084	17.15	19	-4.78	172	3.98	142	1.81	20	-3.86	129	7.12	1210	2.04	192	1.73	483	1.98	96	2.05	125	3.80	235	-1.63	119	2.30	38	-4.73
of	5913	56	3.07	75	-1.33	0	0.34	43	-1.22	106	2.73	54	2.64	64	1.51	59	-2.33	53	-2.72	12	-2.30	153	-1.51	29	1.13	13	-4.12	4	0.70	85	-30.91	32	1.15	34	-4.39	46	-4.70	3	-9.42	221	4.17	12	-4.23	97	2.32	46	-1.36	31	2.37	351	3.72	10	-3.31	60	1.68	28	-1.13	0	0.24	0	0.24	88	12.93	39	1.32	417	-4.64	635	-28.19	293	2.72	89	7.00	873	57.04	14	-2.34	93	1.91	115	5.31	9	-3.60	51	1.29	575	-8.22	109	1.42	385	11.05	88	7.52	65	1.68	111	-3.33	56	-1.30	31	-1.67
and	4379	31	1.22	65	1.56	0	0.25	40	1.53	50	-1.76	44	2.96	45	1.27	94	5.85	44	-1.72	13	-1.17	103	-1.77	21	-1.07	9	-3.46	1	-0.84	28	-44.46	6	-4.70	46	1.23	46	-1.80	7	-3.91	187	6.70	14	-1.83	52	-1.39	37	-1.18	12	-1.05	186	-2.88	19	1.05	41	1.28	24	1.14	2	1.26	2	1.26	37	1.87	52	5.98	366	1.66	699	1.85	171	-1.99	31	-1.37	344	-2.23	20	1.06	53	-1.37	69	1.90	17	1.02	69	6.85	632	7.22	61	-2.29	186	-1.86	33	-1.19	49	1.58	132	2.69	55	1.87	34	1.28
to	3721	24	1.09	48	1.23	2	1.14	39	2.08	69	2.40	18	-1.36	43	1.54	59	1.75	43	-1.27	17	1.12	60	-5.33	19	1.04	31	2.31	2	0.59	73	-12.20	10	-2.13	40	1.21	50	1.25	35	3.69	129	2.16	30	2.27	39	-1.71	41	1.68	12	0.94	167	-2.05	25	2.24	20	-2.14	26	1.73	1	0.60	1	0.60	6	-4.80	30	1.77	314	1.64	432	-12.62	174	1.71	43	2.07	279	-2.77	29	3.02	72	3.30	76	4.47	25	2.31	40	1.84	487	2.72	96	3.85	158	-1.78	31	1.15	40	1.37	131	4.98	45	1.57	40	2.78
a	3682	23	1.08	50	1.27	0	0.21	37	1.83	91	6.85	31	1.62	24	-1.97	62	2.12	45	1.22	12	-1.01	55	-6.33	26	1.69	15	-1.26	2	0.59	43	-24.49	13	-1.46	26	-2.07	42	-1.42	1	-6.84	102	-1.49	26	1.60	50	1.25	29	-1.19	12	0.94	406	47.96	13	-1.02	25	-1.39	16	-1.06	1	0.60	1	0.60	9	-3.32	19	-1.10	310	1.63	487	-5.47	151	-1.60	24	-1.47	287	-2.19	14	-1.02	56	1.47	77	4.82	19	1.27	33	1.22	433	-1.71	66	1.30	166	-1.53	18	-2.22	33	-1.17	110	2.35	69	6.37	22	-1.16
in	3459	28	1.47	46	1.23	0	0.20	18	-1.62	51	1.27	22	1.07	32	-1.15	37	-1.53	48	1.35	8	-1.40	72	-2.39	12	-1.36	16	-1.08	5	1.23	51	-17.81	14	-1.19	15	-4.42	56	1.76	3	-4.65	71	-3.73	16	-1.05	59	2.06	14	-3.35	17	1.51	280	14.25	5	-2.51	11	-4.27	23	1.49	0	0.14	0	0.14	18	-1.16	15	-1.31	450	20.71	455	-5.44	181	2.85	41	2.15	335	2.89	2	-4.46	41	-1.34	45	1.22	4	-2.90	17	-2.14	421	1.72	30	-5.79	149	-1.67	28	1.12	56	4.48	85	1.36	35	1.17	21	-1.13
The	2587	18	1.06	28	-1.33	0	0.15	16	-1.14	28	-1.58	22	1.43	18	-1.47	16	-3.58	31	-1.15	3	-2.12	64	-1.37	10	-1.07	1	-4.92	0	-0.78	54	-7.79	7	-1.66	4	-7.39	74	9.13	4	-2.59	98	2.65	7	-1.64	25	-1.71	34	2.29	4	-1.39	232	16.57	2	-2.89	9	-3.06	11	-0.97	0	0.11	0	0.11	3	-4.20	14	-0.99	81	-27.18	531	11.24	57	-8.91	28	1.48	423	37.71	1	-3.81	22	-2.23	43	1.78	0	-4.58	17	-1.19	295	-1.76	40	-1.42	95	-2.66	16	-1.27	18	-1.40	38	-3.82	33	1.57	12	-1.39
s	2283	25	2.50	6	-6.95	0	0.13	22	1.36	35	1.22	32	4.58	19	-1.12	22	-1.57	33	1.30	5	-1.18	38	-3.40	25	3.70	4	-2.36	0	-0.69	11	-26.52	1	-4.13	4	-6.22	33	1.21	5	-1.77	61	-1.43	9	-1.04	18	-2.31	14	-1.39	6	-0.87	92	-2.53	0	-4.10	15	-1.22	6	-1.44	0	0.09	0	0.09	3	-3.53	10	-1.10	282	10.97	514	17.89	96	-1.41	16	-1.13	202	1.59	1	-3.29	25	-1.33	30	1.14	1	-3.07	11	-1.71	236	-2.82	52	1.84	141	3.90	9	-2.19	33	2.38	37	-2.79	17	-1.37	26	2.38
on	2230	2	-4.16	32	1.22	1	0.66	14	-1.07	17	-2.76	3	-3.53	16	-1.32	25	-1.23	25	-1.16	26	6.17	27	-6.08	7	-1.23	7	-1.36	1	0.48	32	-12.18	7	-1.30	17	-1.40	17	-2.39	4	-2.06	34	-5.38	7	-1.28	13	-3.55	7	-3.14	4	-1.13	61	-7.76	5	-1.25	4	-4.54	7	-1.19	0	0.09	0	0.09	1	-4.94	3	-3.10	67	-24.84	505	18.09	46	-8.81	4	-4.50	342	25.64	5	-1.34	14	-3.28	17	-2.26	5	-1.22	15	-1.11	401	16.72	85	9.83	202	18.67	11	-1.62	21	1.06	31	-3.83	19	-1.15	14	-0.99
from	1822	4	-2.15	12	-2.47	0	0.10	2	-3.98	13	-2.63	3	-2.65	7	-2.60	10	-3.16	20	-1.12	19	4.11	20	-5.86	3	-1.89	0	-4.27	0	-0.55	11	-19.35	2	-2.49	3	-5.20	13	-2.30	4	-1.51	51	-1.28	1	-3.15	15	-1.87	5	-2.98	3	-1.07	75	-2.09	3	-1.41	11	-1.24	5	-1.21	0	0.07	0	0.07	4	-2.11	2	-2.88	69	-14.59	457	25.25	33	-9.02	3	-3.93	314	32.33	3	-1.50	22	-1.12	15	-1.76	3	-1.38	6	-2.28	295	7.88	29	-1.23	203	29.44	1	-5.26	5	-3.33	25	-3.37	7	-2.80	11	-0.96
was	1387	19	3.00	33	3.40	0	0.08	13	1.09	42	5.55	5	-1.19	8	-1.39	13	-1.31	12	-1.34	1	-1.60	10	-7.07	2	-1.66	2	-1.80	0	0.42	0	-24.69	0	-3.16	2	-4.26	20	1.08	0	-3.04	2	-15.17	0	-3.14	11	-1.68	4	-2.31	12	2.73	82	1.79	2	-1.27	2	-3.30	2	-1.61	0	0.06	0	0.06	4	-1.39	0	-3.53	149	3.60	226	1.63	94	5.05	2	-3.27	160	4.66	1	-1.82	25	1.55	5	-3.61	2	-1.24	21	2.54	241	9.18	17	-1.66	55	-1.58	16	1.40	19	1.59	35	1.17	11	-1.06	5	-1.32
is	1333	4	-1.34	26	1.96	0	0.08	24	4.21	10	-1.98	5	-1.13	28	4.14	25	1.74	14	-1.07	3	-0.88	13	-5.16	15	2.64	5	-0.91	1	0.43	45	-1.53	18	3.70	3	-3.38	23	1.41	1	-2.09	55	2.50	7	0.82	19	1.06	6	-1.51	2	-0.94	216	50.78	5	0.76	6	-1.46	3	-1.18	0	0.05	0	0.05	0	-3.63	6	-0.89	88	-2.57	68	-33.05	55	-1.30	25	3.85	111	-1.42	8	1.03	30	2.67	56	13.52	8	1.09	13	1.05	94	-8.96	30	1.44	60	-1.29	9	-0.94	9	-1.11	60	5.44	16	1.11	5	-1.24
that	1332	10	0.96	31	3.11	0	0.08	28	5.95	27	1.83	3	-1.69	24	2.84	27	2.12	7	-2.40	3	-0.87	26	-1.73	4	-0.99	2	-1.70	0	0.40	12	-11.44	7	0.82	10	-1.15	7	-2.65	0	-2.92	37	-1.21	3	-1.26	25	1.70	14	1.08	1	-1.29	137	14.46	4	-0.80	3	-2.55	5	-0.84	0	0.05	0	0.05	0	-3.63	1	-2.49	102	-1.56	116	-13.68	64	1.43	35	8.28	74	-5.05	4	-0.83	19	1.05	21	1.24	4	-0.79	16	1.48	201	4.09	26	1.14	51	-1.70	9	-0.94	20	1.91	85	14.58	20	1.70	7	-0.94
for	1295	8	0.85	11	-1.42	0	0.07	16	1.76	27	1.93	9	0.89	14	1.02	15	-1.04	19	1.14	3	-0.85	17	-3.45	7	0.83	12	1.60	0	0.39	27	-4.37	10	1.20	12	-0.97	16	-1.02	2	-1.50	26	-2.10	12	1.68	9	-1.91	25	3.84	2	-0.91	29	-6.94	5	0.76	9	-0.96	5	-0.82	0	0.05	0	0.05	7	-0.86	12	1.43	120	1.73	244	3.63	48	-1.53	6	-1.38	139	3.08	4	-0.81	24	1.60	20	1.18	3	-0.90	10	0.91	123	-3.12	24	1.09	84	3.30	6	-1.29	11	-0.94	30	-1.15	13	0.96	20	3.32
as	1137	7	0.83	12	-1.06	0	0.06	7	-0.89	14	-1.03	9	0.96	18	1.89	16	1.02	30	4.09	3	-0.75	34	1.26	4	-0.84	17	3.89	0	0.34	12	-8.80	0	-2.59	5	-1.85	44	9.40	0	-2.49	16	-3.56	6	0.79	22	1.69	7	-1.03	4	0.71	81	3.33	4	0.73	3	-2.03	8	1.05	0	0.05	0	0.05	3	-1.31	1	-2.07	115	2.38	122	-6.42	67	2.58	15	1.56	139	5.31	0	-2.13	16	1.01	11	-1.14	0	-2.01	2	-2.39	135	1.44	13	-1.66	39	-2.08	18	2.48	21	2.81	16	-2.31	14	1.10	7	0.84
Retrieved	1131	0	-3.12	0	-6.41	0	0.06	0	-3.70	0	-6.96	0	-3.15	0	-4.72	0	-6.47	36	6.43	0	-1.90	29	-1.13	0	-2.49	0	-2.65	0	0.34	0	-20.12	0	-2.58	0	-5.12	0	-6.54	0	-2.48	0	-14.77	0	-2.56	3	-3.79	0	-4.30	0	-1.64	94	6.01	0	-2.03	0	-4.20	0	-2.43	0	0.05	0	0.05	0	-3.08	0	-2.88	0	-42.82	458	89.39	0	-21.92	0	-4.17	251	44.23	0	-2.12	0	-6.62	0	-6.38	0	-2.00	0	-4.01	87	-6.11	0	-8.96	173	42.15	0	-3.99	0	-4.61	0	-12.18	0	-4.93	0	-3.38
Jackson	1104	0	-3.05	0	-6.26	0	0.06	0	-3.61	0	-6.80	0	-3.08	0	-4.61	0	-6.32	0	-6.04	0	-1.85	0	-12.97	0	-2.43	0	-2.58	0	0.33	0	-19.64	0	-2.52	0	-5.00	0	-6.38	0	-2.42	0	-14.42	0	-2.50	0	-6.41	0	-4.19	1	-1.04	0	-24.89	0	-1.98	0	-4.10	0	-2.37	0	0.05	0	0.05	0	-3.01	0	-2.81	7	-31.48	1091	856.53	0	-21.40	0	-4.07	0	-42.87	0	-2.07	0	-6.46	0	-6.23	0	-1.95	0	-3.92	0	-61.09	0	-8.75	5	-16.25	0	-3.89	0	-4.50	0	-11.89	0	-4.81	0	-3.30
with	1098	8	0.89	11	-1.09	0	0.06	9	0.89	20	1.32	5	-0.89	8	-0.99	24	2.28	23	2.23	0	-1.84	13	-3.49	11	1.84	5	0.78	1	0.45	12	-8.29	1	-1.74	2	-3.15	17	1.10	1	-1.66	30	-1.17	7	0.89	11	-1.13	15	1.57	1	-1.03	67	1.82	5	0.76	11	0.98	3	-0.93	0	0.04	0	0.04	3	-1.25	7	0.84	126	4.23	191	2.04	35	-2.02	18	2.45	80	-1.83	5	0.76	13	-1.00	18	1.24	6	0.90	8	0.87	127	-1.45	17	-1.10	50	1.24	11	1.03	7	-1.08	31	1.28	15	1.28	9	0.94
original	1075	0	-2.97	0	-6.09	0	0.06	0	-3.51	1	-5.43	1	-2.16	1	-3.47	0	-6.15	8	-1.42	0	-1.80	8	-5.48	0	-2.37	0	-2.51	0	0.32	0	-19.12	1	-1.70	0	-4.87	0	-6.22	0	-2.35	1	-12.52	0	-2.43	2	-4.22	0	-4.08	0	-1.56	6	-16.54	0	-1.93	0	-3.99	0	-2.31	0	0.04	0	0.04	0	-2.93	0	-2.73	1	-38.70	348	41.95	0	-20.83	4	-1.49	272	59.75	0	-2.02	2	-4.26	0	-6.07	0	-1.90	0	-3.81	246	23.42	1	-7.22	167	41.60	2	-2.21	0	-4.38	1	-10.14	1	-3.65	1	-2.34
Archived	1004	0	-2.77	0	-5.69	0	0.06	0	-3.28	0	-6.18	0	-2.80	0	-4.19	0	-5.74	8	-1.27	0	-1.68	8	-4.89	0	-2.21	0	-2.35	0	0.30	0	-17.86	0	-2.29	0	-4.55	0	-5.81	0	-2.20	0	-13.11	0	-2.27	3	-3.21	0	-3.81	0	-1.46	4	-17.09	1	-1.18	0	-3.73	0	-2.16	0	0.04	0	0.04	0	-2.73	0	-2.55	0	-38.00	343	47.04	0	-19.45	0	-3.70	250	53.60	1	-1.24	0	-5.87	0	-5.66	0	-1.77	0	-3.56	223	19.69	0	-7.96	163	43.10	0	-3.54	0	-4.09	0	-10.81	0	-4.38	0	-3.00
o	938	17	4.03	0	-5.31	0	0.05	0	-3.06	0	-5.77	18	4.46	1	-2.96	19	1.74	0	-5.13	8	1.72	5	-6.05	0	-2.06	0	-2.19	0	0.28	196	80.41	0	-2.14	0	-4.25	183	150.96	0	-2.05	0	-12.24	0	-2.12	13	0.96	46	19.85	0	-1.36	1	-19.44	0	-1.68	226	252.99	14	3.67	0	0.04	0	0.04	117	110.37	0	-2.38	0	-35.50	5	-60.33	2	-15.21	0	-3.46	13	-20.97	0	-1.76	0	-5.49	11	-0.94	0	-1.66	0	-3.33	19	-29.03	0	-7.43	2	-16.37	0	-3.31	0	-3.82	22	1.07	0	-4.09	0	-2.80
by	884	2	-1.24	17	1.53	0	0.05	10	1.23	20	1.91	9	1.25	5	-1.11	10	-0.95	24	3.61	1	-0.95	24	1.09	3	-0.77	3	-0.81	1	0.48	8	-7.79	0	-2.01	8	-0.89	13	0.99	11	2.42	19	-1.52	6	0.88	12	0.94	5	-0.99	3	0.65	52	1.51	4	0.72	6	-0.86	5	0.77	0	0.04	0	0.04	0	-2.41	1	-1.53	44	-4.48	109	-3.09	50	1.96	3	-1.40	89	1.90	4	0.71	12	0.94	10	-0.94	2	-0.75	8	0.87	129	2.64	36	5.31	48	1.49	3	-1.32	12	1.27	23	1.09	12	1.17	8	0.98
matplotlib	827	0	-2.28	0	-4.68	0	0.05	0	-2.70	0	-5.09	0	-2.30	0	-3.45	0	-4.73	0	-4.52	0	-1.39	0	-9.71	0	-1.82	0	-1.93	0	0.25	827	1172.25	0	-1.88	0	-3.74	0	-4.78	0	-1.81	0	-10.79	0	-1.87	0	-4.80	0	-3.14	0	-1.20	0	-18.63	0	-1.48	0	-3.07	0	-1.78	0	0.03	0	0.03	0	-2.25	0	-2.10	0	-31.29	0	-61.22	0	-16.02	0	-3.05	0	-32.09	0	-1.55	0	-4.84	0	-4.66	0	-1.46	0	-2.93	0	-45.73	0	-6.55	0	-17.09	0	-2.92	0	-3.37	0	-8.90	0	-3.60	0	-2.47
at	765	2	-1.04	13	1.15	1	1.04	12	2.09	7	-1.15	5	0.75	5	-0.93	14	1.29	17	2.05	0	-1.28	16	-1.22	4	0.71	5	0.79	0	0.23	17	-2.64	1	-1.14	0	-3.46	11	0.94	0	-1.67	17	-1.35	4	0.71	9	-0.91	15	2.69	6	1.53	37	-1.19	0	-1.37	2	-1.50	6	1.04	0	0.03	0	0.03	5	0.76	4	0.72	118	10.38	130	1.64	40	1.48	12	1.77	18	-12.19	0	-1.43	32	7.73	4	-1.70	1	-0.86	6	0.79	85	-1.45	6	-2.03	29	-1.41	8	0.96	14	2.11	21	1.12	3	-1.45	3	-0.89
his	751	17	5.17	4	-1.66	0	0.04	19	5.35	16	1.54	12	2.61	7	0.82	22	3.54	7	-0.97	0	-1.26	1	-7.50	5	0.83	0	-1.76	0	0.23	0	-13.35	0	-1.71	0	-3.40	8	-0.94	0	-1.64	12	-2.19	0	-1.70	3	-2.12	1	-2.03	2	0.59	28	-1.76	0	-1.35	0	-2.79	0	-1.61	0	0.03	0	0.03	0	-2.04	0	-1.91	189	42.92	221	21.16	39	1.44	0	-2.77	31	-6.08	0	-1.41	9	-0.90	22	3.62	0	-1.32	5	-0.80	23	-17.87	7	-1.68	4	-10.64	18	4.41	4	-1.04	3	-5.03	5	-0.96	7	0.96
Legend	712	8	1.34	6	-1.07	0	0.04	3	-0.91	2	-2.67	22	8.69	0	-2.97	52	22.29	33	9.70	3	0.65	9	-2.32	7	1.38	5	0.83	5	3.86	40	2.13	11	2.96	38	15.32	12	1.08	31	18.69	44	5.52	0	-1.61	19	2.69	0	-2.70	10	3.87	10	-6.83	1	-0.81	2	-1.37	2	-0.73	0	0.03	0	0.03	0	-1.94	4	0.71	0	-26.93	13	-34.94	1	-12.27	11	1.65	256	91.33	3	0.65	14	1.38	6	-1.07	0	-1.26	2	-1.29	4	-32.80	17	1.28	2	-11.93	1	-1.75	0	-2.90	0	-7.66	2	-1.69	1	-1.43
it	656	1	-1.19	19	3.16	0	0.04	7	1.00	14	1.44	5	0.79	14	2.53	18	2.77	8	0.85	2	0.59	12	-1.37	5	0.92	10	2.64	0	0.20	6	-5.90	1	-0.96	9	1.02	8	0.86	13	4.54	14	-1.34	2	-0.71	8	0.86	6	0.79	4	0.97	23	-1.86	2	0.61	1	-1.68	3	0.65	0	0.03	0	0.03	0	-1.78	0	-1.67	56	1.26	49	-9.90	35	1.47	14	2.97	48	-1.51	4	0.80	13	1.35	9	0.88	3	0.66	11	1.93	100	2.75	22	2.61	23	-1.52	1	-1.58	6	0.79	31	3.60	12	1.74	4	0.72
an	624	1	-1.12	8	0.85	0	0.04	5	0.76	22	4.18	4	0.71	7	0.86	9	0.90	7	0.84	0	-1.05	11	-1.40	3	0.65	1	-0.93	0	0.19	1	-9.67	2	-0.69	2	-1.49	9	0.89	1	-0.87	14	-1.23	5	0.93	9	0.89	5	0.76	3	0.73	115	32.64	4	0.86	3	-0.91	3	0.65	0	0.03	0	0.03	0	-1.70	6	1.07	54	1.26	61	-5.27	25	-1.13	5	0.76	54	1.25	4	0.83	10	0.97	11	1.13	5	1.17	2	-1.09	58	-2.22	9	-0.98	32	1.21	8	1.18	6	0.79	10	-1.36	9	1.12	1	-1.23
BUTTON	610	0	-1.68	0	-3.45	0	0.03	0	-1.99	6	-0.98	0	-1.70	7	0.87	0	-3.49	12	1.41	1	-0.65	11	-1.34	5	0.97	9	2.36	0	0.18	3	-7.40	4	0.75	0	-2.76	3	-1.57	212	327.77	0	-7.96	16	6.78	9	0.90	11	1.95	1	-0.57	7	-6.87	38	31.38	2	-1.13	23	12.94	1	1.26	1	1.26	2	-0.79	18	7.54	9	-12.95	13	-28.27	0	-11.81	0	-2.25	14	-10.08	38	30.68	25	6.07	6	-0.90	38	31.63	0	-2.16	11	-20.25	0	-4.83	13	-3.30	4	0.75	3	-0.98	10	-1.31	23	7.15	1	-1.19
Michael	584	0	-1.61	0	-3.31	0	0.03	0	-1.91	0	-3.59	0	-1.63	1	-1.68	0	-3.34	0	-3.19	0	-0.98	0	-6.85	0	-1.28	0	-1.36	0	0.18	1	-8.99	0	-1.33	0	-2.64	0	-3.37	0	-1.28	0	-7.62	0	-1.32	1	-2.49	0	-2.22	0	-0.85	0	-13.15	0	-1.05	0	-2.17	0	-1.25	0	0.02	0	0.02	0	-1.59	0	-1.48	15	-8.39	554	399.92	0	-11.30	0	-2.15	5	-16.05	0	-1.09	0	-3.41	0	-3.29	0	-1.03	0	-2.07	6	-23.74	0	-4.62	1	-10.61	0	-2.06	0	-2.38	0	-6.28	0	-2.54	0	-1.74
or	578	1	-1.03	8	0.86	0	0.03	7	1.13	14	1.74	3	0.68	10	1.54	4	-1.15	1	-2.29	4	0.96	32	4.22	3	0.65	4	0.76	0	0.17	50	6.60	3	0.65	16	3.53	6	-0.87	0	-1.26	23	1.49	6	1.30	20	4.09	5	0.75	1	0.55	97	24.51	6	1.64	2	-1.05	4	0.80	0	0.02	0	0.02	0	-1.57	2	-0.71	15	-8.23	29	-15.11	34	1.79	4	0.74	29	-3.43	4	0.88	10	1.03	7	0.83	4	0.92	5	0.76	26	-9.53	15	1.38	9	-4.47	1	-1.36	4	-0.79	27	3.18	19	5.21	4	0.71
legend	574	0	-1.58	15	2.30	0	0.03	0	-1.87	10	0.99	1	-1.03	4	-0.80	1	-2.40	0	-3.14	0	-0.96	26	2.49	0	-1.26	12	4.20	0	0.17	150	75.79	50	43.21	0	-2.60	0	-3.32	0	-1.26	0	-7.49	20	10.37	36	13.52	5	0.75	2	0.57	148	60.96	0	-1.03	9	1.49	3	0.65	0	0.02	0	0.02	3	0.67	0	-1.46	8	-12.58	2	-38.71	3	-7.64	1	-1.42	4	-16.73	0	-1.07	10	1.04	4	-1.12	4	0.92	2	-0.99	0	-31.72	2	-2.80	0	-11.85	0	-2.02	0	-2.34	15	1.00	22	6.99	2	-0.82
Pok	565	0	-1.56	0	-3.20	0	0.03	0	-1.84	0	-3.47	0	-1.57	0	-2.36	0	-3.23	0	-3.09	0	-0.95	0	-6.63	0	-1.24	0	-1.32	0	0.17	0	-10.04	0	-1.29	0	-2.56	0	-3.26	0	-1.24	0	-7.37	0	-1.28	0	-3.27	0	-2.14	0	-0.82	0	-12.72	0	-1.01	0	-2.10	0	-1.21	0	0.02	0	0.02	0	-1.54	0	-1.44	0	-21.36	0	-41.80	0	-10.94	0	-2.08	1	-20.19	0	-1.06	0	-3.30	0	-3.18	0	-1.00	0	-2.00	564	520.32	0	-4.47	0	-11.67	0	-1.99	0	-2.30	0	-6.08	0	-2.46	0	-1.68
time	556	1	-0.98	6	-0.84	0	0.03	6	0.95	2	-1.92	1	-0.99	5	0.76	6	-0.84	1	-2.19	1	-0.60	4	-3.18	2	0.62	0	-1.30	0	0.17	0	-9.88	0	-1.27	0	-2.52	4	-1.11	0	-1.22	0	-7.25	0	-1.26	3	-1.38	4	0.74	0	-0.81	4	-8.02	0	-1.00	1	-1.38	3	0.65	0	0.02	0	0.02	0	-1.51	0	-1.41	350	229.05	34	-11.56	3	-7.33	3	-0.80	27	-3.55	0	-1.04	10	1.08	4	-1.07	1	-0.63	5	0.76	48	-2.59	2	-2.68	5	-6.40	0	-1.96	0	-2.26	6	-1.98	1	-1.67	3	0.69
be	549	2	-0.73	10	1.13	0	0.03	11	2.66	7	0.84	3	0.66	11	1.98	8	0.87	2	-1.62	7	2.36	14	0.97	4	0.81	5	1.01	0	0.16	35	2.65	7	1.75	9	1.24	6	-0.84	0	-1.20	23	1.64	4	0.80	8	0.87	13	3.07	4	1.13	27	1.11	4	0.95	2	-0.99	3	0.65	0	0.02	0	0.02	0	-1.49	0	-1.39	52	1.43	20	-18.97	30	1.45	10	1.92	32	-2.39	2	0.58	13	1.74	9	0.98	0	-0.97	4	0.72	74	1.56	21	3.14	14	-2.37	2	-0.93	1	-1.52	26	3.17	3	-0.94	7	1.31
In	548	5	0.88	5	-0.90	0	0.03	1	-1.17	10	1.04	0	-1.53	4	-0.78	4	-1.07	4	-1.01	1	-0.59	7	-1.91	1	-0.76	5	1.01	0	0.16	2	-7.32	0	-1.25	2	-1.26	14	2.07	2	0.62	20	1.23	0	-1.24	8	0.87	2	-1.02	0	-0.80	25	-1.15	6	1.73	2	-0.99	3	0.65	0	0.02	0	0.02	0	-1.49	1	-0.88	27	-3.20	144	10.23	13	-2.29	7	1.06	54	1.50	6	1.65	5	-0.94	4	-1.05	6	1.75	2	-0.94	93	3.93	3	-2.11	31	1.40	3	-0.76	6	0.82	2	-3.92	7	0.91	1	-1.06
Zelda	545	0	-1.50	0	-3.08	0	0.03	0	-1.78	0	-3.35	0	-1.52	0	-2.27	0	-3.11	0	-2.98	0	-0.91	0	-6.40	0	-1.20	0	-1.27	0	0.16	0	-9.68	0	-1.24	0	-2.47	0	-3.15	0	-1.19	0	-7.11	0	-1.23	0	-3.16	0	-2.07	0	-0.79	0	-12.27	0	-0.98	0	-2.02	0	-1.17	0	0.02	0	0.02	0	-1.48	0	-1.38	0	-20.61	0	-40.32	0	-10.55	28	13.21	446	371.79	6	1.66	42	18.68	20	4.58	0	-0.96	0	-1.93	2	-26.68	0	-4.31	1	-9.83	0	-1.92	0	-2.22	0	-5.86	0	-2.37	0	-1.62
mon	543	0	-1.50	0	-3.07	0	0.03	0	-1.77	0	-3.34	0	-1.51	0	-2.26	0	-3.10	0	-2.97	0	-0.91	0	-6.37	0	-1.19	0	-1.27	0	0.16	0	-9.65	0	-1.24	0	-2.46	0	-3.14	0	-1.19	0	-7.08	0	-1.23	0	-3.15	0	-2.06	0	-0.79	0	-12.23	0	-0.97	0	-2.01	0	-1.17	0	0.02	0	0.02	0	-1.48	0	-1.38	0	-20.53	0	-40.17	5	-5.63	0	-2.00	1	-19.35	0	-1.02	0	-3.17	0	-3.06	0	-0.96	0	-1.92	537	484.66	0	-4.30	0	-11.21	0	-1.91	0	-2.21	0	-5.84	0	-2.36	0	-1.62
he	535	10	2.76	8	0.89	0	0.03	9	1.89	14	1.96	5	0.89	12	2.42	20	4.61	11	1.43	0	-0.90	1	-5.11	3	0.65	0	-1.25	0	0.16	0	-9.51	0	-1.22	0	-2.42	15	2.47	0	-1.17	2	-4.85	0	-1.21	1	-2.24	1	-1.36	0	-0.78	16	-2.19	0	-0.96	1	-1.32	0	-1.15	0	0.02	0	0.02	0	-1.45	0	-1.36	130	28.28	118	4.68	28	1.32	0	-1.97	23	-4.29	0	-1.00	6	-0.83	17	3.34	0	-0.94	4	0.71	29	-6.87	13	1.19	3	-7.58	8	1.40	8	1.19	11	-1.00	4	-0.79	4	0.71
